attendance_rate_14d,attendance_rate_30d,absence_streak,late_ratio_14d,gpa_overall,avg_grade_last5,grade_trend,exam_fail_rate,homework_completion_rate,overdue_rate,missed_homework_streak,has_overdue_payment,max_debt_days,overdue_payment_count,dropped_out
0.902382,0.895161,0.000000,0.123103,0.905494,0.899781,0.767012,0.181057,0.943213,0.055760,0.000000,0.000000,0.000000,0.000000,0.000000
0.448839,0.573683,0.500000,0.413669,0.567177,0.498781,0.331795,0.178101,0.481090,0.388539,0.500000,1.000000,0.494911,0.200000,1.000000
0.615145,0.580693,0.100000,0.118194,0.788757,0.801731,0.387741,0.195083,0.786562,0.236772,0.100000,0.000000,0.000000,0.000000,0.000000
0.270615,0.371253,0.100000,0.375092,0.592194,0.512649,0.195086,0.287056,0.348941,0.614942,0.300000,1.000000,0.075318,0.400000,0.000000
0.906928,0.900461,0.000000,0.070851,0.716470,0.688787,0.639092,0.026283,0.901857,0.116224,0.000000,0.000000,0.000000,0.000000,0.000000
0.892542,0.970046,0.000000,0.115902,0.532079,0.627270,0.458023,0.382189,0.760585,0.326990,0.000000,1.000000,0.001687,0.400000,0.000000
0.629224,0.603631,0.000000,0.291182,0.830295,0.792281,0.551235,0.014695,0.847711,0.084755,0.000000,0.000000,0.000000,0.000000,0.000000
0.550434,0.520059,0.000000,0.093286,0.842829,0.799753,0.577272,0.164667,0.891638,0.012936,0.000000,0.000000,0.000000,0.000000,0.000000
0.741641,0.759945,0.000000,0.112183,0.673244,0.631892,0.494092,0.172373,0.569671,0.405895,0.000000,1.000000,0.012941,0.400000,0.000000
0.517375,0.514759,0.000000,0.527944,0.466420,0.246506,0.554236,0.231417,0.560421,0.434974,0.400000,1.000000,0.039022,0.200000,0.000000
0.946359,0.949712,0.000000,0.136279,0.922034,1.000000,0.543055,0.029084,0.823338,0.064615,0.000000,0.000000,0.000000,0.000000,0.000000
0.713988,0.674645,0.000000,0.184047,0.643763,0.627898,0.644971,0.170895,0.762458,0.249810,0.100000,0.000000,0.000000,0.000000,0.000000
0.778328,0.783174,0.000000,0.067173,0.891523,0.929361,0.519552,0.084164,0.871223,0.015875,0.000000,0.000000,0.000000,0.000000,0.000000
0.456546,0.457917,0.000000,0.199452,0.608083,0.663602,0.318305,0.215806,0.721051,0.067507,0.200000,0.000000,0.000000,0.000000,0.000000
0.035481,0.095029,0.900000,0.739259,0.151981,0.130429,0.189819,0.883669,0.222974,0.778569,0.800000,1.000000,0.745237,0.800000,0.000000
0.700403,0.701286,0.100000,0.198303,0.629462,0.550850,0.777202,0.294841,0.919733,0.267371,0.000000,0.000000,0.000000,0.000000,0.000000
0.649797,0.673183,0.200000,0.060530,0.735452,0.767584,0.605662,0.064223,0.887685,0.022557,0.000000,0.000000,0.000000,0.000000,0.000000
0.807641,0.850307,0.000000,0.197852,0.728754,0.712026,0.604076,0.338289,0.658247,0.195747,0.000000,0.000000,0.000000,0.000000,0.000000
0.277779,0.218265,0.300000,0.765098,0.416728,0.345172,0.445208,0.268725,0.434070,0.379742,0.200000,0.000000,0.000000,0.000000,1.000000
0.444826,0.459292,0.000000,0.492933,0.417565,0.390219,0.488816,0.229396,0.450376,0.377874,0.300000,0.000000,0.000000,0.000000,1.000000
0.459551,0.569658,0.100000,0.266027,0.520005,0.466155,0.213595,0.383000,0.550922,0.456864,0.500000,0.000000,0.000000,0.000000,1.000000
0.992142,0.994893,0.000000,0.294984,0.635008,0.654480,0.579859,0.042317,0.942645,0.219094,0.000000,0.000000,0.000000,0.000000,0.000000
0.680803,0.642773,0.000000,0.016324,0.797268,0.860951,0.640648,0.033104,0.851720,0.017618,0.000000,0.000000,0.000000,0.000000,0.000000
0.283505,0.082283,0.400000,0.291564,0.432665,0.347139,0.472069,0.362679,0.398509,0.508752,0.000000,0.000000,0.000000,0.000000,0.000000
0.714794,0.727690,0.000000,0.124422,0.563448,0.564058,0.373943,0.059373,0.846398,0.027901,0.000000,0.000000,0.000000,0.000000,0.000000
0.302990,0.371925,0.300000,0.804054,0.289801,0.141239,0.472931,0.613084,0.524754,0.247373,0.300000,1.000000,0.026841,0.400000,1.000000
0.526007,0.492815,0.000000,0.340959,0.283944,0.254776,0.438360,0.551513,0.375349,0.480206,0.100000,0.000000,0.000000,0.000000,1.000000
0.094398,0.108199,0.700000,0.334599,0.033731,0.000000,0.317604,0.474767,0.081031,0.802436,0.700000,1.000000,0.135990,0.400000,1.000000
0.724916,0.704573,0.200000,0.214078,0.773749,0.631384,0.633304,0.167930,0.959234,0.250159,0.000000,0.000000,0.000000,0.000000,0.000000
